Activity,Type,Start,Distance,Time,Avg Speed,Max Speed,Elevation Gain,Avg HR,Max HR,Resting HR,Calories,Steps
Daily,Daily,"Tue, 23 May 2017 23:59",,,,,,,,56,1850,5197
Flexibility Yoga,Yoga,"Tue, 23 May 2017 17:18",0,00:30:01,0,5.5,--,85,105,,82,
Sworkit cardio & stronger baseline,Strength Training,"Tue, 23 May 2017 16:53",1.17,00:23:25,3,24.6,--,102,139,,100,
Morning - Rung 17,Other,"Tue, 23 May 2017 7:55",0,00:07:06,0,27.2,--,111,139,,40,
Daily,Daily,"Mon, 22 May 2017 23:59",,,,,,,,54,2045,5375
Hannover Cycling,Cycling,"Mon, 22 May 2017 14:42",8.33,00:33:19,15,30.3,32,107,130,,159,
Hannover Cycling,Cycling,"Mon, 22 May 2017 10:24",6.18,00:23:34,15.7,27.2,16,109,139,,118,
Morning - Rung 17,Other,"Mon, 22 May 2017 6:54",0,00:07:14,0,24.9,--,107,134,,37,
Daily,Daily,"Sun, 21 May 2017 23:59",,,,,,,,50,2148,11483
Stretching yoga,Yoga,"Sun, 21 May 2017 13:13",0,00:14:57,0,5.6,--,84,103,,41,
Hannover Running,Running,"Sun, 21 May 2017 12:38",4.15,00:29:35,07:08,05:18,4,150,173,,271,
