Activity,Type,Start,Distance,Time,Avg Speed,Max Speed,Elevation Gain,Avg HR,Max HR,Resting HR,Calories,Steps
Daily,Daily,"Sat, 3 Jun 2017 23:59",,,,,,,,53,2055,6225
Hannover Cycling,Cycling,"Sat, 3 Jun 2017 14:17",7.95,00:29:48,16,34.8,28,115,149,,168,
Hannover Cycling,Cycling,"Sat, 3 Jun 2017 13:43",0.51,00:02:15,13.8,18.6,--,106,112,,11,
Hannover Cycling,Cycling,"Sat, 3 Jun 2017 12:34",5.89,00:21:57,16.1,27.1,13,115,140,,125,
Morning - Rung 17,Other,"Sat, 3 Jun 2017 8:39",0,00:06:47,0,27.7,--,105,137,,33,
Daily,Daily,"Fri, 2 Jun 2017 23:59",,,,,,,,52,2026,5992
Hannover Cycling,Cycling,"Fri, 2 Jun 2017 19:46",3.14,00:12:00,15.6,29.7,11,113,125,,69,
Hannover Cycling,Cycling,"Fri, 2 Jun 2017 18:32",1.95,00:08:00,14.3,20.8,13,108,136,,43,
Hannover Cycling,Cycling,"Fri, 2 Jun 2017 17:13",6.45,00:26:05,14.8,27.8,14,108,133,,132,
Morning - Rung 17,Other,"Fri, 2 Jun 2017 6:23",0,00:06:51,0,25.7,--,103,124,,33,
Daily,Daily,"Thu, 1 Jun 2017 23:59",,,,,,,,48,2317,11593
Hannover Cycling,Cycling,"Thu, 1 Jun 2017 19:26",1.56,00:06:12,15.1,82.1,--,109,119,,33,
Hannover Cycling,Cycling,"Thu, 1 Jun 2017 19:01",1.47,00:06:48,13,17,3,116,126,,42,
Hannover Running,Running,"Thu, 1 Jun 2017 6:26",4.23,00:29:20,06:56,05:11,4,154,169,,277,
Daily,Daily,"Wed, 31 May 2017 23:59",,,,,,,,52,2093,15677
Flexibility Yoga,Yoga,"Wed, 31 May 2017 18:45",0,00:30:46,0,6.2,--,73,104,,56,
Morning - Rung 17,Other,"Wed, 31 May 2017 5:40",0,00:07:05,0,21.6,--,99,127,,31,
Daily,Daily,"Tue, 30 May 2017 23:59",,,,,,,,51,2050,5479
Sworkit iron core,Strength Training,"Tue, 30 May 2017 19:03",0.41,00:17:33,1.4,7.1,--,95,152,,66,
Morning - Rung 17,Other,"Tue, 30 May 2017 6:21",0,00:07:21,0,21.7,--,105,130,,36,
Daily,Daily,"Mon, 29 May 2017 23:59",,,,,,,,52,2438,12447
Hannover Cycling,Cycling,"Mon, 29 May 2017 17:06",1.71,00:07:27,13.8,103.1,1,111,130,,41,
Hannover Cycling,Cycling,"Mon, 29 May 2017 8:41",1.64,00:06:00,16.4,21.8,--,134,142,,49,
Morning - Rest Rung 17,Other,"Mon, 29 May 2017 7:00",0,00:02:51,0,5.5,--,116,125,,18,
Hannover Running,Running,"Mon, 29 May 2017 6:27",4.29,00:29:46,06:56,02:57,6,152,170,,274,
Daily,Daily,"Sun, 28 May 2017 23:59",,,,,,,,51,1975,4839
Flexibility Yoga,Yoga,"Sun, 28 May 2017 19:51",0.04,00:10:05,0.3,5.4,--,87,102,,30,
Sworkit buns of steel,Strength Training,"Sun, 28 May 2017 19:25",0.44,00:23:34,1.1,7.4,--,105,166,,110,
Hannover Cycling,Cycling,"Sun, 28 May 2017 18:22",3.09,00:11:29,16.1,25.9,10,114,127,,66,
Hannover Cycling,Cycling,"Sun, 28 May 2017 17:32",3.54,00:12:53,16.5,25.5,12,120,144,,83,
